RecordNumber	Tags	Indicators	Content	
3	880	\\	$6260-03$aحمص :$bمطبعة و زنكوغراف الميتم الاسلامي،$c1954.
3	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
3	999	\\	$iNjP_1407137$o(OCoLC)ocm23519119$sprinceton_aco004299:$e(ERROR-880)$sprinceton_aco004299:
			
4	LDR		02185nam a2200421Mi 4500
4	001		2763160
4	003		NjP
4	006		m\\\\\\\\d\\\\\\\\
4	007		cr\cn\|||m|||a
4	008		200430s1963\\\\sy\\\\\\ob\\\\000\0\arard
4	040	\\	$aZYU$bara$erda$cZYU
4	050	\4	$aBP179$b.N25
4	100	1\	$6880-01$aNasīmī, Maḥmūd Nāẓim.
4	245	13	$6880-02$aal-Ṣiyām bayna al-ṭibb wa-al-Islām /$cMaḥmūd Nāẓim al-Nasīmī.
4	250	\\	$6880-03$a[al-Ṭabʻah 1].
4	260	\\	$6880-04$a[Aleppo] :$bal-Lajnah al-ʻIlmīyah li-Niqābat Aṭibbāʼ Ḥalab,$c[1963]
4	300	\\	$aonline resource (80 pages)
4	336	\\	$atext$2rdacontent
4	337	\\	$acomputer$2rdamedia
4	338	\\	$aonline resource$2rdacarrier
4	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
4	504	\\	$aIncludes bibliographical references (page 77).
4	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
4	650	\0	$aFasting$xReligious aspects$xIslam.
4	650	\0	$aRamadan.
4	650	\7	$aFasting$xReligious aspects$xIslam.$2fast$0(OCoLC)fst00921734
4	650	\7	$aRamadan.$2fast$0(OCoLC)fst01089664
4	710	2\	$aPrinceton University.$bLibrary.
4	730	0\	$aArabic Collections Online.
4	776	08	$iOnline version:$aNasīmī, Maḥmūd Nāẓim.$tṢiyām bayna al-ṭibb wa-al-Islām.$b[al-Ṭabʻah 1].$d[Aleppo] : al-Lajnah al-ʻIlmīyah li-Niqābat Aṭibbāʼ Ḥalab, [1963]$w(OCoLC)551594331
4	776	08	$iPrint version:$aNasīmī, Maḥmūd Nāẓim.$tal-Ṣiyām bayna al-ṭibb wa-al-Islām$w(NjP)2763160$w(DLC)ne 67000242 $w(OCoLC)23518839
4	856	40	$uhttp://hdl.handle.net/2333.1/jwstqvdq 
4	880	1\	$6100-01$aنسيمي، محمود ناظم.
4	880	12	$6245-02$aالصيام بين الطب والاسلام /$cمحمود ناظم النسيمي. 
4	880	\\	$6250-03$a[الطبعة 1].
4	880	\\	$6260-04$a[حلب] :$bاللجنة العلمية لنقابة اطباء حلب،$c[1963]
4	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
4	999	\\	$iNjP_2763160$o(OCoLC)ocm23518839$sprinceton_aco003330:$e(ERROR-880)$sprinceton_aco003330:
			
5	LDR		01880nam a2200385Mi 4500
5	001		903612
5	003		NjP
5	006		m\\\\\\\\d\\\\\\\\
5	007		cr\cn\|||m|||a
5	008		200430s1988\\\\ir\\\\\\ob\\\\000\0\ara\d
5	040	\\	$aZYU$bara$erda$cZYU
5	050	14	$aBP193.14$b.Q87 1988
5	100	1\	$6880-01$aQurashī, Bāqir Sharīf.
5	245	10	$6880-02$aḤayat al-Imām Zayn al-ʻĀbidīn :$bdirāsah wa-taḥlīl /$cBāqir Sharīf al-Qurashī.
5	250	\\	$6880-03$aal-Ṭabʻah 1.
5	260	\\	$6880-04$aQum, Īrān :$bDār al-Kitāb al-Islāmī,$c1988.
5	300	\\	$aonline resource (2 volumes in 1)
5	336	\\	$atext$2rdacontent
5	337	\\	$acomputer$2rdamedia
5	338	\\	$aonline resource$2rdacarrier
5	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
5	504	\\	$aIncludes bibliographical references.
5	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
5	600	00	$aZayn al-ʻĀbidīn ʻAlī ibn al-Ḥusayn,$d-710?
5	600	07	$aZayn al-ʻĀbidīn ʻAlī ibn al-Ḥusayn,$d-710?$2fast$0(OCoLC)fst01859740
5	710	2\	$aPrinceton University.$bLibrary.
5	730	0\	$aArabic Collections Online.
5	776	08	$iPrint version:$aQurashī, Bāqir Sharīf.$tḤayat al-Imām Zayn al-ʻĀbidīn$w(NjP)903612$w(OCoLC)30887393
5	856	40	$uhttp://hdl.handle.net/2333.1/7pvmd53h 
5	880	1\	$6100-01$aقرشي، باقر شريف.
5	880	10	$6245-02$aحياة الامام زين العابدين :$bدراسة وتحليل /$cباقر شريف القرشي.
5	880	\\	$6250-03$aالطبعة 1.
5	880	\\	$6260-04$aقم، ايران :$bدار الكتاب الاسلامي،$c1988.
5	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
5	999	\\	$iNjP_903612$o(OCoLC)ocm30887393$sprinceton_aco003230$e(ERROR-880)$sprinceton_aco003230
			
6	LDR		03346nam a2200565Mi 4500
6	001		2725713
6	003		NjP
6	006		m\\\\\\\\d\\\\\\\\
6	007		cr\cn\|||m|||a
6	008		200430s1969\\\\iq\abe\\o\\\\\000\0\arard
6	040	\\	$aZYU$bara$erda$cZYU
6	043	\\	$aa-iq---
6	050	\4	$aDS51.B3$bB34
6	100	1\	$6880-01$aJawād, Muṣṭafá,$d1905-1969
6	245	10	$6880-02$aBaghdād /$c[Muṣṭafá Jawād, Aḥmad Sūsah, et al.].
6	260	\\	$6880-03$a[Baghdad] :$bNiqābat al-Muhandisīn al-ʻIrāqīyah,$c1969.
6	300	\\	$aonline resource (488 pages) :$billustrations (some color), maps, plans
6	336	\\	$atext$2rdacontent
6	337	\\	$acomputer$2rdamedia
6	338	\\	$aonline resource$2rdacarrier
6	500	\\	$6880-04$a""Al-Buḥūth min iưdād al-Duktūr Muṣṭafá Jawād, al-Duktūr Aḥmad Sūsah, a-Duktūr Muḥammad Makkīyah, al-Ustādh Nājī Maʻrūf.""
6	500	\\	$aPublished with the assistance of the Gulbenkian Foundation.
6	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
6	505	0\	$aTakhṭīṭ Baghdād fī mukhtalaf ʻuṣūrihā / Muṣṭafá Jawād, Aḥmad Sūsah -- Rayy Baghdād : qadīman wa-ḥadīthan / Aḥamad Sūsah -- al-Ḥayāh al-thaqāfīyah fī Baghdād / Nājī Maʻarūf -- Taṭawwurāt fann al-ʻimārah fī Baghdād / Muḥammad Makkīyah.
6	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
6	651	\0	$aBaghdad (Iraq)$xHistory
6	651	\0	$aBaghdad (Iraq)$xDescription and travel
6	650	\7	$aTravel.$2fast$0(OCoLC)fst01155558
6	651	\7	$aIraq$zBaghdad.$2fast$0(OCoLC)fst01207444
6	655	\7	$aHistory.$2fast$0(OCoLC)fst01411628
6	700	1\	$6880-05$aSousa, Ahmed.
6	700	1\	$6880-06$aMakiya, Mohamed.
6	700	1\	$6880-07$aMaʻrūf, Nājī.
6	710	1\	$6880-08$aNiqābat al-Muhandisīn al-ʻIrāqīyah.
6	710	2\	$aPrinceton University.$bLibrary.
6	730	0\	$aArabic Collections Online.
6	776	08	$iOnline version:$aJawād, Muṣṭafá, 1905-1969.$tBaghdād.$d[Baghdad] : Niqābat al-Muhandisīn al-ʻIrāqīyah, 1969$w(OCoLC)586075631
6	776	08	$iOnline version:$aJawād, Muṣṭafá, 1905-1969.$tBaghdād.$d[Baghdad] : Niqābat al-Muhandisīn al-ʻIrāqīyah, 1969$w(OCoLC)610080107
6	776	08	$iPrint version:$aJawād, Muṣṭafá, 1905-1969$tBaghdād$w(NjP)2725713$w(DLC)   79962227 $w(OCoLC)3859611
6	856	40	$uhttp://hdl.handle.net/2333.1/n5tb323h 
6	880	1\	$6100-01$aجواد، مصطفى،$d1905-1969
6	880	10	$6245-02$aبغداد /$c[مصطفى جواد، احمد سوسة، واخرون].
6	880	\\	$6260-03$a[بغداد] :$bنقابة المهندسين العراقية،$c1969.
6	880	\\	$6500-04$a""البحوث من اعداد الدكتور مصطفى جواد، الدكتور احمد سوسة، الدكتور محمد مكية، الاستاذ ناجي معروف.""
6	880	1\	$6700-05$aسوسه، أحمد.
6	880	1\	$6700-06$aمكية، محمد.
6	880	1\	$6700-07$aمعروف، ناجي.
6	880	1\	$6710-08$aنقابة المهندسين العراقية.
6	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
6	999	\\	$iNjP_2725713$o(OCoLC)ocm03859611$sprinceton_aco002223$e(ERROR-880)$sprinceton_aco002223
			
7	LDR		02291nam a2200409Mi 4500
7	001		2741737
7	003		NjP
7	006		m\\\\\\\\d\\\\\\\\
7	007		cr\cn\|||m|||a
7	008		200430s1950\\\\ua\abj\\ob\\\\000\0\arar\
7	040	\\	$aZYU$bara$erda$cZYU
7	050	\4	$aBP189.7.B32$bN85
7	084	\\	$a167.8$2njb/9
7	100	1\	$6880-01$aNūr al-Dīn, Ibrāhīm Aḥmad.
7	245	10	$6880-02$aḤayāt al-Sayyid al-Badawī :$bbaḥth fī al-tārīkh wa-al-taṣawwuf al-Islāmī /$cIbrāhīm Aḥmad Nūr al-Dīn.
7	250	\\	$6880-03$aal-Ṭabʻah 2.
7	260	\\	$6880-04$aTanṭāʼ :$bYuṭlab min al-Maktabah al-Tijārīyah al-Islāmīyah,$c1369 [1950]
7	300	\\	$aonline resource (166 pages) :$billustrations, maps, portrait
7	336	\\	$atext$2rdacontent
7	337	\\	$acomputer$2rdamedia
7	338	\\	$aonline resource$2rdacarrier
7	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
7	504	\\	$aIncludes bibliographical references (pages 162-166).
7	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
7	600	10	$aBadawī, Aḥmad,$d1200?-1276.
7	600	17	$aBadawī, Aḥmad,$d1200?-1276.$2fast$0(OCoLC)fst00117979
7	710	2\	$aPrinceton University.$bLibrary.
7	730	0\	$aArabic Collections Online.
7	776	08	$iOnline version:$aNūr al-Dīn, Ibrāhīm Aḥmad.$tḤayāt al-Sayyid al-Badawī.$bal-Ṭabʻah 2.$dTanṭāʼ yuṭlab min al-Maktabah al-Tijārīyah al-Islāmīyah, 1369 [1950]$w(OCoLC)639405670
7	776	08	$iPrint version:$aNūr al-Dīn, Ibrāhīm Aḥmad.$tḤayāt al-Sayyid al-Badawī$w(NjP)2741737$w(DLC)  74265038 $w(OCoLC)10218477
7	856	40	$uhttp://hdl.handle.net/2333.1/80gb5x8g 
7	880	1\	$6100-01$aنور الدين، ابراهيم أحمد.
7	880	10	$6245-02$aحياة السيد البدوي :$bبحث في التاريخ والتصوف الإسلامي /$cابراهيم أحمد نور الدين.
7	880	\\	$6250-03$aالطبعة 2.
7	880	\\	$6260-04$aطنطا :$bيطلب من المكتبة التجترية الاسلامية.$c‭1369 [1950]‬
7	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
7	999	\\	$iNjP_2741737$o(OCoLC)ocm10218477$sprinceton_aco003167$sprinceton_aco003167
			
8	LDR		01926nam a2200409Mi 4500
8	001		269929
8	003		NjP
8	006		m\\\\\\\\d\\\\\\\\
8	007		cr\cn\|||m|||a
8	008		200430s1901\\\\ua\\\\\\o\\\\\000\0aarar\
8	040	\\	$aZYU$bara$erda$cZYU
8	043	\\	$ae------
8	050	00	$aD919$b.K43 1901
8	100	1\	$6880-01$aKhallāṭ, Nasīm.
8	245	10	$6880-02$aSi̇yāḥah fī gharbī ūrubbā /$cbi-qalam kātibihi Nasīm Khallāṭ.
8	260	\\	$6880-03$aMiṣr :$bMaṭbaʻat al-Muqtaṭaf,$c1901.
8	300	\\	$aonline resource (170 pages)
8	336	\\	$atext$2rdacontent
8	337	\\	$acomputer$2rdamedia
8	338	\\	$aonline resource$2rdacarrier
8	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
8	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
8	651	\0	$aEurope$xDescription and travel.
8	600	10	$aKhallāṭ, Nasīm$xTravel$zEurope.
8	600	17	$aKhallāṭ, Nasīm.$2fast$0(OCoLC)fst00197314
8	650	\7	$aTravel.$2fast$0(OCoLC)fst01155558
8	651	\7	$aEurope.$2fast$0(OCoLC)fst01245064
8	710	2\	$aPrinceton University.$bLibrary.
8	730	0\	$aArabic Collections Online.
8	776	08	$iOnline version:$aKhallāṭ, Nasīm.$tSi̇yāḥah fī gharbī ūrubbā$dMiṣr : Maṭbaʻat al-Muqtaṭaf, 1901$w(OCoLC)1102676047
8	776	08	$iPrint version:$aKhallāṭ, Nasīm.$tSi̇yāḥah fī gharbī ūrubbā$w(NjP)269929$w(DLC)   86960351 $w(OCoLC)16086183
8	856	40	$uhttp://hdl.handle.net/2333.1/sbcc2rhn 
8	880	1\	$6100-01$aخلاط، نسيم.
8	880	10	$6245-02$aسياحة في غربي اوربا /$cبقلم نسيم خلاط.
8	880	\\	$6260-03$aمصر :$bمطبعة المقتطف،$c1901.
8	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
8	999	\\	$iNjP_269929$o(OCoLC)ocm16086183$sprinceton_aco003972:$e(ERROR-880)$sprinceton_aco003972:
			
9	LDR		01900nam a2200361Mi 4500
9	001		1672222
9	003		NjP
9	006		m\\\\\\\\d\\\\\\\\
9	007		cr\cn\|||m|||a
9	008		200430q19001989ua\\\\\\o\\\\\000\0\ara\d
9	040	\\	$aZYU$bara$erda$cZYU
9	050	\4	$aBL80$b.B13
9	100	1\	$6880-01$aBadawī, Aḥmad Zakī,$d1910-
9	245	10	$6880-02$aTārīkh al-taṭawwur al-dīnī /$ctaʼlīf Aḥmad Zakī Badawī
9	260	\\	$6880-03$aal-Qāhirah :$bMaṭba'at al-Majallah al-Jadīdah,$c[1925?]
9	300	\\	$aonline resource (62 pages)
9	336	\\	$atext$2rdacontent
9	337	\\	$acomputer$2rdamedia
9	338	\\	$aonline resource$2rdacarrier
9	500	\\	$aArabic.
9	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
9	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
9	710	2\	$aPrinceton University.$bLibrary.
9	730	0\	$aArabic Collections Online.
9	776	08	$iOnline version:$aBadawī, Aḥmad Zakī, 1910-$tTārīkh al-tatawwur al-dīnī.$dCairo Maṭbaʻat al-majallah al-jadīdah 19--?]$w(OCoLC)555286302
9	776	08	$iOnline version:$aBadawī, Aḥmad Zakī, 1910-$tTārīkh al-tatawwur al-dīnī.$dCairo Maṭbaʻat al-majallah al-jadīdah 19--?]$w(OCoLC)608871608
9	776	08	$iPrint version:$aBadawī, Aḥmad Zakī, 1910-$tTārīkh al-taṭawwur al-dīnī$w(NjP)1672222$w(OCoLC)23517082
9	856	40	$uhttp://hdl.handle.net/2333.1/6hdr83dd 
9	880	1\	$6100-01$aبدوي، احمد زكي،$d1910-
9	880	10	$6245-02$aتاريخ التطور الديني /$cتأليف احمد زكي بدوي
9	880	\\	$6260-03$aالقاهرة :$bمطبعة المجلة الجديدة،$c[1925؟]
9	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
9	999	\\	$iNjP_1672222$o(OCoLC)ocm23517082$sprinceton_aco004144:$e(ERROR-880)$sprinceton_aco004144:
			
10	LDR		01721nam a2200397Mi 4500
10	001		266952
10	003		NjP
10	006		m\\\\\\\\d\\\\\\\\
10	007		cr\cn\|||m|||a
10	008		200430s1959\\\\sy\\\\\\o\\\\\000\0\arard
10	040	\\	$aZYU$bara$erda$cZYU
10	043	\\	$aa-sy---
10	050	04	$aHG1311.S95$bA65
10	100	1\	$6880-01$aʻAshshī, Jūrj.
10	245	13	$6880-02$aal-Niẓām al-naqdī fī Sūriyā /$c[taʼlīf] Jūrj ʻAshī.
10	250	\\	$6880-03$aal-Ṭabʻah 3.
10	260	\\	$6880-04$a[Dimashq] :$bMaṭbaʻat Jāmiʻat Dimashq,$c1959.
10	300	\\	$aonline resource (414 pages)
10	336	\\	$atext$2rdacontent
10	337	\\	$acomputer$2rdamedia
10	338	\\	$aonline resource$2rdacarrier
10	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
10	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
10	650	\0	$aMoney$zSyria.
10	650	\7	$aMoney.$2fast$0(OCoLC)fst01025265
10	651	\7	$aSyria.$2fast$0(OCoLC)fst01208757
10	710	2\	$aPrinceton University.$bLibrary.
10	730	0\	$aArabic Collections Online.
10	776	08	$iPrint version:$aʻAshshī, Jūrj.$tal-Niẓām al-naqdī fī Sūriyā$w(NjP)266952$w(DLC)ne 64003108 $w(OCoLC)83719097
10	856	40	$uhttp://hdl.handle.net/2333.1/1ns1rxwh 
10	880	1\	$6100-01$aعشي، جورج.
10	880	12	$6245-02$aالنظام النقدي في سوريا /$c[تأليف] جورج عشي.
10	880	\\	$6250-03$aالطبعة 3.
10	880	\\	$6260-04$a[دمشق] :$bمطبعة جامعة دمشق،$c1959.
10	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
10	999	\\	$iNjP_266952$o(OCoLC)ocm83719097$sprinceton_aco003779:$e(ERROR-880)$sprinceton_aco003779:
			
11	LDR		03150nam a2200553Mi 4500
11	001		620413
11	003		NjP
11	006		m\\\\\\\\d\\\\\\\\
11	007		cr\cn\|||m|||a
11	008		200430m19889999ir\a\\\\ob\\\\001\0\ara\d
11	040	\\	$aZYU$bara$erda$cZYU
11	050	\4	$aBP194.2$b.K37 1988
11	100	1\	$6880-01$aMuḥaqqiq al-Thānī, ʻAlī ibn al-Ḥusayn,$d1463 or 1464-1533 or 1534.
11	240	10	$6880-02$aWorks.$kSelections.$f1988
11	245	10	$6880-03$aRasāʼil al-Muḥaqqiq al-Karakī /$ctaʼlīf al-Muḥaqqiq al-Thānī, ʻAlī ibn al-Ḥusayn al-Karakī ; taḥqīq Muḥammad al-Ḥassūn ; ishrāf Maḥmūd al-Marʻashī.
11	250	\\	$6880-04$aal-Ṭabʻah 1.
11	260	\\	$6880-05$aQum :$bMaktabat Āyat Allāh al-ʻUẓmá al-Marʻashī al-Najafī,$c1409- [1988 or 1989]-
11	300	\\	$aonline resource (volumes) :$billustrations
11	336	\\	$atext$2rdacontent
11	337	\\	$acomputer$2rdamedia
11	338	\\	$aonline resource$2rdacarrier
11	490	1\	$6880-06$aMakhṭūṭāt Maktabat Āyat Allāh al-Marʻashī al-ʻĀmmah ;$v33
11	500	\\	$aIn Arabic.
11	500	\\	$aTitle page partially vocalized.
11	500	\\	$aPart of the Arabic Collections Online (ACO) project, contributed by Princeton University Libraries.
11	504	\\	$aIncludes bibliographical references.
11	533	\\	$aElectronic reproduction.$bNew York, N.Y. :$cNew York University,$d2020.$5NNU
11	650	\0	$aIslam$xCustoms and practices.
11	650	\0	$aIslamic law.
11	650	\7	$aIslam$xCustoms and practices.$2fast$0(OCoLC)fst00979785
11	650	\7	$aIslamic law.$2fast$0(OCoLC)fst00979949
11	700	1\	$6880-07$aḤassūn, Muḥammad.
11	700	1\	$6880-08$aMarʻashī, Maḥmūd.
11	710	2\	$aPrinceton University.$bLibrary.
11	730	0\	$aArabic Collections Online.
11	776	08	$iPrint version:$aMuḥaqqiq al-Thānī, ʻAlī ibn al-Ḥusayn, 1463 or 1464-1533 or 1534.$tRasāʼil al-Muḥaqqiq al-Karakī$w(NjP)620413$w(OCoLC)22726170
11	830	\0	$6880-09$aMin makhṭūṭāt Maktabat Āyat Allāh al-Marʻashī al-ʻĀmmah ;$v33.
11	856	40	$uhttp://hdl.handle.net/2333.1/k6djhmjm 
11	880	1\	$6100-01$aمحقق الثاني، علي بن الحسين,$d1463 or 1464-1533 or 1534.
11	880	10	$6240-02$aمختارات
11	880	10	$6245-03$aرسائل المحقق الكركي /$cتأليف المحقق الثاني، علي بن الحسين الكركي ؛ تحقيق محمد الحسون ؛ اشراف محمود المرعشي.
11	880	\\	$6250-04$aالطبعة 1.
11	880	\\	$6260-05$aقم :$bمكتبة آية الله العظمى المرعشي النجفي،$c1409- [1988 or 1989]-
11	880	1\	$6490-06$aمخطوطات مكتبة آية الله المرعشي العامة ؛$v33
11	880	1\	$6700-07$aحسون، محمد.
11	880	1\	$6700-08$aمرعشي، محمود.
11	880	\0	$6830-09$aمن مخطوطات مكتبة آية الله المرعشي العامة ؛$v33.
11	959	\\	$aNNU$bWEB$cGENI$t0$mElectronic access$s01
11	999	\\	$iNjP_620413$o(OCoLC)ocm22726170$sprinceton_aco003947:v. 1$sprinceton_aco003948:v. 2$e(ERROR-880)$sprinceton_aco003947:v. 1$sprinceton_aco003948:v. 2
			
12	LDR		02193nam a2200421Mi 4500
12	001		1684941
12	003		NjP
12	006		m\\\\\\\\d\\\\\\\\
12	007		cr\cn\|||m|||a
