b1257224x,aub_aco003294:''''
b12564898,aub_aco003193:''''
b12487077,aub_aco003344:''''
b1242898x,aub_aco003638:''''
b12725857,aub_aco003752:''''
b12516569,aub_aco003270:''v.1''
b12441314,aub_aco003550:''''
b12474964,aub_aco003876:''''
b12412028,aub_aco003162:''''
b12463644,aub_aco003663:''''
b12469221,aub_aco003309:''''
b12480113,aub_aco003871:''''
b12509619,aub_aco003266:''''
b12649636,aub_aco003297:''''
b12487582,aub_aco003351:''''
b12513416,aub_aco003104:''v.2''|aub_aco003105:''v.2''|aub_aco003106:''v.3''
b12477527,aub_aco003334:''''
b1246725x,aub_aco003884:''''
b12688514,aub_aco003629:''v.1''
b12496078,aub_aco003615:''''
b12462780,aub_aco003875:''''
b12560807,aub_aco003354:''''
b12521188,aub_aco003282:''v.1-2''|aub_aco003283:''v.3-4''
b12441326,aub_aco003607:''''
b12517793,aub_aco003257:''''
b12474940,aub_aco003302:''''
b12572044,aub_aco003219:''''
b1248085x,aub_aco003332:''''
b12513635,aub_aco003241:''''|aub_aco003242:''''|aub_aco003243:''''|aub_aco003244:''''|aub_aco003245:''''|aub_aco003246:''''
b12516971,aub_aco003279:''''
b1252170x,aub_aco003259:''''
b12431412,aub_aco003541:''''
b12415820,aub_aco003392:''''
b12431606,aub_aco003608:''''
b12409686,aub_aco003157:''''
b12477795,aub_aco003337:''''
b12442641,aub_aco003647:''''
b12445332,aub_aco003613:''''
b12408025,aub_aco003373:''''
b12681465,aub_aco003627:''''
b12515693,aub_aco003133:''''
b12480022,aub_aco003870:''''
b12496467,aub_aco003592:''''
b12434437,aub_aco003377:''''
b12443219,aub_aco003580:''''
b12605852,aub_aco003230:''''
b12726898,aub_aco003737:''''
b12436409,aub_aco003385:''''
b12437578,aub_aco003774:''''
b12511109,aub_aco003248:''''
b12440656,aub_aco003571:''''
b12443049,aub_aco003577:''''
b12724038,aub_aco003754:''v.1''|aub_aco003755:''v.1''|aub_aco003756:''v.1''|aub_aco003757:''v.2''|aub_aco003758:''v.2''|aub_aco003759:''v.2''
b12495736,aub_aco003614:''''
b12431291,aub_aco003653:''''
b12723952,aub_aco003720:''''
b12498488,aub_aco003673:''''
b1258924x,aub_aco003220:''''
b12476432,aub_aco003314:''''
b12731961,aub_aco003711:''v.1''|aub_aco003712:''v.2''|aub_aco003713:''v.3''|aub_aco003714:''v.4''
b12487326,aub_aco003346:''''
b12661089,aub_aco003144:''''
b12441375,aub_aco003779:''''
b12480629,aub_aco003330:''''
b12508299,aub_aco003637:''''
b12537238,aub_aco003169:''''
b1250287x,aub_aco003596:''''
b12408153,aub_aco003368:''''
b12470697,aub_aco003321:''''
b12428061,aub_aco003873:''''
b12539417,aub_aco003171:''''
b12688988,aub_aco003630:''''
b12431655,aub_aco003654:''''
b1243517x,aub_aco003363:''''
b1249673x,aub_aco003618:''''
b12540158,aub_aco003312:''''
b12507362,aub_aco003691:''''
b13300878,aub_aco003527:''''
b12409674,aub_aco003156:''''
b12512187,aub_aco003101:''''
b12509875,aub_aco003268:''''
b12567607,aub_aco003202:''''
b12470983,aub_aco003323:''''
b12513866,aub_aco003098:''v.1''|aub_aco003099:''v.2''
b1254310x,aub_aco003174:''''
b12444017,aub_aco003572:''''
b12521395,aub_aco003287:''''
b12430870,aub_aco003725:''''
b12564837,aub_aco003189:''''
b12444339,aub_aco003526:''''
b1254338x,aub_aco003182:''''
b1252136x,aub_aco003286:''''
b1243825x,aub_aco003640:''''
b12475257,aub_aco003303:''''
b12438145,aub_aco003775:''''
b23584014,aub_aco003745:''v.1''|aub_aco003746:''v.2''|aub_aco003747:''v.3''
b12672877,aub_aco003599:''''
b12536738,aub_aco003165:''''
b12516545,aub_aco003255:''''
b12736478,aub_aco003565:''''
b12567565,aub_aco003199:''''
b23584075,aub_aco003744:''v.2''
b12497460,aub_aco003686:''''
b12499936,aub_aco003674:''''
b12515395,aub_aco003129:''''
b12572081,aub_aco003626:''''
b12479640,aub_aco003869:''''
b12429442,aub_aco003651:''''
b12507878,aub_aco003688:''v.1''
b12641844,aub_aco003231:''''
b12476286,aub_aco003317:''''
b12725973,aub_aco003743:''v.1''
b12441338,aub_aco003551:''''
b12444108,aub_aco003574:''v.1''
b12505596,aub_aco003588:''''
b1247728x,aub_aco003333:''''
b12516004,aub_aco003139:''''
b12714598,aub_aco003671:''''
b12672051,aub_aco003598:''''
b12515437,aub_aco003107:''''
b1252041x,aub_aco003111:''v.1''|aub_aco003112:''v.2''
b12521516,aub_aco003288:''''
b12483096,aub_aco003878:''v.1''
b12471495,aub_aco003325:''''
b12487466,aub_aco003348:''''
b12543366,aub_aco003181:''''
b12469361,aub_aco003308:''''
b12567541,aub_aco003198:''''
b12723939,aub_aco003715:''''
b12472128,aub_aco003320:''''
b12477163,aub_aco003301:''''
b12437505,aub_aco003772:''''
b12507222,aub_aco003675:''''
b12569021,aub_aco003213:''''
b12515164,aub_aco003114:''''
b12725912,aub_aco003760:''''
b1241685x,aub_aco003371:''''
b12722972,aub_aco003672:''''
b12440061,aub_aco003643:''''
b2327623x,aub_aco003394:''v.3''
b12679021,aub_aco003625:''''
b12501992,aub_aco003670:''''
b12543317,aub_aco003179:''v.1''
b12514068,aub_aco003113:''v.1-2''
b1244182x,aub_aco003723:''''
b12438959,aub_aco003642:''''
b12728093,aub_aco003740:''v.1''
b12520883,aub_aco003265:''v.1''
b12498592,aub_aco003685:''v.1''
b12735589,aub_aco003102:''''
b12407938,aub_aco003374:''''
b12455337,aub_aco003885:''''
b12470715,aub_aco003322:''''
b12476493,aub_aco003318:''''
b12567590,aub_aco003201:''''
b1247177x,aub_aco003327:''v.1''
b12589275,aub_aco003221:''''
b12699767,aub_aco003716:''''
b1251424x,aub_aco003122:''''
b12515851,aub_aco003137:''''
b12455660,aub_aco003872:''''
b12514962,aub_aco003125:''''
b12457450,aub_aco003889:''''
b12516934,aub_aco003256:''''
b13649322,aub_aco003234:''''
b12438224,aub_aco003639:''''
b12434012,aub_aco003375:''''
b12440425,aub_aco003657:''v.1''|aub_aco003658:''v.2''
b12429995,aub_aco003697:''''
b12431941,aub_aco003646:''''
b12426866,aub_aco003384:''''
b12504518,aub_aco003695:''''
b12604914,aub_aco003311:''''
b12434425,aub_aco003376:''''
b12496583,aub_aco003609:''''
b12509838,aub_aco003247:''''
b12442264,aub_aco003733:''''
b12485068,aub_aco003882:''''
b12727581,aub_aco003738:''''
b12416654,aub_aco003395:''v.1-2''
b12441508,aub_aco003602:''''
b12477618,aub_aco003335:''''
b1272595x,aub_aco003761:''v.1-2''|aub_aco003762:''v.3''
b1256915x,aub_aco003214:''''
b12427901,aub_aco003660:''''
b12439150,aub_aco003766:''''
b1251665x,aub_aco003273:''''
b12568326,aub_aco003206:''''
b12572020,aub_aco003218:''''
b12646520,aub_aco003232:''''
b12735747,aub_aco003719:''''
b12455507,aub_aco003888:''''
b12443505,aub_aco003601:''''
b12417397,aub_aco003399:''''|aub_aco003400:''''
b12463140,aub_aco003664:''''
b12709165,aub_aco003693:''''
b12564801,aub_aco003186:''''
b12543263,aub_aco003178:''''
b12568727,aub_aco003210:''''
b12564904,aub_aco003194:''''
b12437463,aub_aco003369:''''
b12469282,aub_aco003306:''''
b12414840,aub_aco003357:''v.1''
b12735942,aub_aco003741:''''
b12649909,aub_aco003240:''''
b12441521,aub_aco003767:''''
b12497125,aub_aco003667:''''
b12568880,aub_aco003211:''''
b12480897,aub_aco003342:''''
b12513039,aub_aco003103:''''
b12520573,aub_aco003142:''''
b12515826,aub_aco003135:''''
